,Real Network,ER Mean,ER Std,ER Z-Score,BA Mean,BA Std,BA Z-Score
Clustering,0.7061111034602707,0.00092062778084604,0.00012560888971333895,5614.131795583753,0.006568248494715059,0.0005838864369669636,1198.0782778944015
Transitivity,0.004447107274608544,0.0009276136053293201,9.783013256668326e-05,35.97519089212507,0.00353704912857586,0.00020257892100724125,4.492341301683861
Avg Path,2.3703922777682167,4.805287016643058,0.0023169161365129,-1050.9200784536927,4.177403343309036,0.017765912593832235,-101.71225115989289
Diameter,5.0,8.9,0.3162277660168379,-12.332882835656681,7.0,0.0,-1999999999.9999998
Assortativity,-0.44294978036604943,-0.00114993313844562,0.004627140910353985,-95.48007296664157,-0.042897956602159205,0.006407933654204777,-62.4306965273722
Modularity,0.3100414406386099,0.3419199608205083,0.0013530891382836474,-23.559790497280037,0.39325962135161413,0.0017552717845018956,-47.41039765885709
HG Degree,0.6953637344672325,0.2120341873121257,0.0012503570325975905,386.5529188875611,0.3758190802895599,0.0014453386349011859,221.08620455808583
HG PageRank,0.5940064957872251,0.17689028530662385,0.0010007073874456712,416.82093975978256,0.32903835811783727,0.0015029347152631727,176.30037996867375
HG Eigenvector,0.34396106754343214,0.26038229485608794,0.002427666909621924,34.42759710093975,0.5977307334437378,0.013469833848181349,-18.839849839329606
